FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;27/09/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;ORVIS;;;;;;;;;ESTILO PROPIO 1:;;;;;;02841-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;3EXC;;;
ESTILO CLIENTE:;;3HLB;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.0%;;;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;3.0%;;;;;;
DIVISION:;;WOMEN;;;;;;;;;TALLAS:;;;;;;XXS-XS-S-M-L-XL;;;;;;;;LARG.DE MANGA;;;;2.0%;;;;;;
TIPO MUESTRA:;;PRODUCION PROGRAMA 28-29;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;YOEL;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MABGA ;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;27  7/8 ;;28  3/8 ;;;;;;;;;;;;;;;;;;
A1;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;26  1/2 ;;27      ;;27  1/2 ;;28      ;;28  1/2 ;;29      ;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO EN SISA;;P;CRITICA;  3/8 ;  3/8 ;17  3/16;;18  3/16;;19  3/16;;20  7/16;;21 15/16;;23 15/16;;;;;;;;;;;;;;;;;;
B1;ANCHO DE PECHO  ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;17  3/16;;18  3/16;;19  3/16;;20  7/16;;21 15/16;;23 15/16;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19 15/16;;20 13/16;;21 13/16;;23      ;;24  7/16;;26  7/16;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;14  3/16;;14 11/16;;15  3/16;;15 13/16;;16  9/16;;17  9/16;;;;;;;;;;;;;;;;;;
D1;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  1/2 ;;17  1/4 ;;18  1/4 ;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;6 13/16;;7  3/16;;7  9/16;;7 15/16;;8  7/16;;9  1/16;;;;;;;;;;;;;;;;;;
E1;SISA RECTA  ESPALDA;;P;CRITICA;;;7  3/4 ;;8  1/8 ;;8  7/16;;8 13/16;;9  5/16;;9 15/16;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;6  7/8 ;;7      ;;7  1/8 ;;7  1/4 ;;7  3/8 ;;7  1/2 ;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;8 15/16;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;
J;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;23 15/16;;24  7/16;;24 15/16;;25  7/16;;25 15/16;;26  7/16;;;;;;;;;;;;;;;;;;
K;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13 13/16;;14  7/16;;15  1/8 ;;15  7/8 ;;16 15/16;;18  5/16;;;;;;;;;;;;;;;;;;
L;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8  1/8 ;;8  3/8 ;;8 11/16;;8 15/16;;9  1/4 ;;9  1/2 ;;;;;;;;;;;;;;;;;;
M;LARGO DE CUELLO;;C;CRITICA;;;22 13/16;;23  5/16;;23 13/16;;24  5/16;;24 13/16;;25  5/16;;;;;;;;;;;;;;;;;;
N;ALTO DE CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;
O;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  1/2 ;;13  3/4 ;;14      ;;14  1/4 ;;14  1/2 ;;14  3/4 ;;;;;;;;;;;;;;;;;;
P;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;
1;ALTO MEDIO PECHO DELANTERO;;P;CRITICA;;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;;;;;;;;;;;;;;;;;
2;ANCHO MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13  3/8 ;;13  7/8 ;;14  3/8 ;;15      ;;15  3/4 ;;16  3/4 ;;;;;;;;;;;;;;;;;;
3;ALTO MEDIO PECHO ESPALDA;;P;CRITICA;;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;
4;ANCHO MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  3/4 ;;14  1/4 ;;14  3/4 ;;15  3/8 ;;16  1/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CUELLO MISMA TELA SE TRABAJO 90%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"CODIGO 101 +1/4""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"CODIGO 154 +1/4""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"CODIGO 171 +1/4""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CODIGO 105 -1/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
